"Symbol","Date","Open","High","Low","Close","Volume"
"VIXY",2011-01-04,633120,650800,633120,633840,14
"VIXY",2011-01-05,640400,640800,617440,620400,9
"VIXY",2011-01-06,619520,629440,614960,623040,10
"VIXY",2011-01-07,617920,640080,609440,624320,5
"VIXY",2011-01-10,637120,646960,622080,623040,9
"VIXY",2011-01-11,613760,618080,604080,605840,8
"VIXY",2011-01-12,592880,594160,577280,578800,6
"VIXY",2011-01-13,578240,584320,571920,572000,2
"VIXY",2011-01-14,576000,576000,542400,548400,6
"VIXY",2011-01-18,544160,547040,531360,531680,3
"VIXY",2011-01-19,534480,570000,533120,559360,7
"VIXY",2011-01-20,563120,576320,551440,554480,12
"VIXY",2011-01-21,539120,564960,538960,559760,4
"VIXY",2011-01-24,560800,563600,546480,547680,4
"VIXY",2011-01-25,553520,561360,540720,540720,3
"VIXY",2011-01-26,535520,538960,521280,523840,4
"VIXY",2011-01-27,524560,526800,512800,514000,2
"VIXY",2011-01-28,512080,564880,509040,557040,8
"VIXY",2011-01-31,549680,558480,547040,554800,3
"VIXY",2011-02-01,542240,542240,523040,528400,5
"VIXY",2011-02-02,532480,533600,519280,526240,2
"VIXY",2011-02-03,528240,541440,518400,520000,2
"VIXY",2011-02-04,518320,519600,506800,507760,4
"VIXY",2011-02-07,501920,501920,492880,498400,3
"VIXY",2011-02-08,497520,504000,490080,491600,3
"VIXY",2011-02-09,496880,504000,492880,494000,7
"VIXY",2011-02-10,506960,506960,492080,493600,4
"VIXY",2011-02-11,499200,499200,485200,485600,5
"VIXY",2011-02-14,485840,488160,481200,481280,5
"VIXY",2011-02-15,483920,488240,482240,487760,4
"VIXY",2011-02-16,480960,493520,476400,493520,6
"VIXY",2011-02-17,496320,502000,495840,498320,6
"VIXY",2011-02-18,496880,508000,496800,503520,5
"VIXY",2011-02-22,534160,569200,516480,566400,14
"VIXY",2011-02-23,566960,606640,560880,591440,14
"VIXY",2011-02-24,590640,602400,579760,583600,3
"VIXY",2011-02-25,567680,567680,547200,547920,6
"VIXY",2011-02-28,534480,534480,520640,524320,8
"VIXY",2011-03-01,519280,563680,518000,562640,12
"VIXY",2011-03-02,564560,570160,548720,564800,10
"VIXY",2011-03-03,538640,543440,534800,535600,4
"VIXY",2011-03-04,532480,560960,531520,550880,5
"VIXY",2011-03-07,564000,580080,537280,564880,6
"VIXY",2011-03-08,561120,576160,548320,552560,2
"VIXY",2011-03-09,559840,575200,557440,559920,3
"VIXY",2011-03-10,580960,592480,574560,588320,5
"VIXY",2011-03-11,600080,600080,569200,572160,5
"VIXY",2011-03-14,591600,595840,577440,579680,3
"VIXY",2011-03-15,642240,643440,592880,603040,25
"VIXY",2011-03-16,608160,679920,604640,657280,33
"VIXY",2011-03-17,620000,637200,614560,632720,13
"VIXY",2011-03-18,603840,621600,603840,613680,6
"VIXY",2011-03-21,586560,586960,565520,565680,11
"VIXY",2011-03-22,559600,568720,558480,560880,5
"VIXY",2011-03-23,567840,577520,540320,541840,13
"VIXY",2011-03-24,525680,535280,522880,527440,13
"VIXY",2011-03-25,520560,528240,513760,526960,19
"VIXY",2011-03-28,521760,533920,516880,533680,13
"VIXY",2011-03-29,533280,541200,520480,520880,10
"VIXY",2011-03-30,514160,516720,507520,511040,14
"VIXY",2011-03-31,516000,517760,508320,510000,11
"VIXY",2011-04-01,499120,510800,494400,505280,19
"VIXY",2011-04-04,500560,507760,499200,500800,13
"VIXY",2011-04-05,504160,504560,489200,491440,19
"VIXY",2011-04-06,487360,497760,484080,489280,20
"VIXY",2011-04-07,491200,503760,487920,493520,23
"VIXY",2011-04-08,488640,508320,485120,502640,29
"VIXY",2011-04-11,498080,503840,491840,497520,19
"VIXY",2011-04-12,506800,512640,498400,502240,32
"VIXY",2011-04-13,495280,504000,492640,493520,24
"VIXY",2011-04-14,504000,505920,486720,488960,23
"VIXY",2011-04-15,485760,490640,475760,478080,30
"VIXY",2011-04-18,5e+05,509120,486800,489200,55
"VIXY",2011-04-19,484240,484240,463360,464560,32
"VIXY",2011-04-20,446480,448880,441760,445360,26
"VIXY",2011-04-21,436800,443840,432080,432400,34
"VIXY",2011-04-25,430480,433840,422240,422560,14
"VIXY",2011-04-26,416800,420080,408080,413280,23
"VIXY",2011-04-27,413680,430320,407760,407760,25
"VIXY",2011-04-28,412400,412480,4e+05,402000,22
"VIXY",2011-04-29,401760,406080,401520,403120,14
"VIXY",2011-05-02,398160,418000,398160,414160,23
"VIXY",2011-05-03,416720,433040,416000,423520,17
"VIXY",2011-05-04,424560,441920,423360,428000,39
"VIXY",2011-05-05,442400,444640,423040,440560,52
"VIXY",2011-05-06,420480,444000,412320,430560,54
"VIXY",2011-05-09,431280,432000,415440,416160,22
"VIXY",2011-05-10,411680,414640,400080,401520,39
"VIXY",2011-05-11,402480,421280,402480,409440,40
"VIXY",2011-05-12,416160,422000,400800,404960,40
"VIXY",2011-05-13,403200,416560,401840,410400,31
"VIXY",2011-05-16,413680,418400,401840,418400,46
"VIXY",2011-05-17,423440,429920,409680,410960,50
"VIXY",2011-05-18,410800,414160,397440,399600,44
"VIXY",2011-05-19,394160,399840,389840,390080,44
"VIXY",2011-05-20,390960,403280,385600,394720,58
"VIXY",2011-05-23,414240,416800,402320,407920,53
"VIXY",2011-05-24,403760,407280,398400,407200,41
"VIXY",2011-05-25,406880,407520,391520,395520,19
"VIXY",2011-05-26,398080,399920,386000,387200,28
"VIXY",2011-05-27,381520,382560,374960,380400,30
"VIXY",2011-05-31,366400,373920,366400,369520,24
"VIXY",2011-06-01,372480,392880,370560,392880,43
"VIXY",2011-06-02,386960,400400,383840,388080,51
"VIXY",2011-06-03,404800,404800,383680,388320,53
"VIXY",2011-06-06,388240,399280,383360,394640,32
"VIXY",2011-06-07,387520,390000,380640,389520,40
"VIXY",2011-06-08,390720,398160,385920,396000,50
"VIXY",2011-06-09,390400,391120,380480,383280,27
"VIXY",2011-06-10,385040,400240,383840,396640,71
"VIXY",2011-06-13,394720,411040,390400,402720,43
"VIXY",2011-06-14,391440,392080,385840,390560,30
"VIXY",2011-06-15,404320,425200,401520,423360,154
"VIXY",2011-06-16,431280,466000,424800,445840,138
"VIXY",2011-06-17,431920,447840,426960,437200,77
"VIXY",2011-06-20,440640,443040,417200,417680,57
"VIXY",2011-06-21,405360,407760,393920,404320,47
"VIXY",2011-06-22,399440,409360,391600,408560,52
"VIXY",2011-06-23,431360,436880,407360,408240,84
"VIXY",2011-06-24,404800,426640,402640,425040,67
"VIXY",2011-06-27,425440,430880,415920,417600,47
"VIXY",2011-06-28,412000,414960,400800,401120,27
"VIXY",2011-06-29,390880,394080,380400,381040,61
"VIXY",2011-06-30,373920,374160,361680,365440,89
"VIXY",2011-07-01,362480,364400,348320,350800,48
"VIXY",2011-07-05,350160,354240,347200,352320,29
"VIXY",2011-07-06,356960,363440,353840,357760,21
"VIXY",2011-07-07,345680,348880,344240,348000,24
"VIXY",2011-07-08,361040,361120,351840,351840,47
"VIXY",2011-07-11,369200,382720,365680,381120,63
"VIXY",2011-07-12,389360,391040,373280,390560,56
"VIXY",2011-07-13,382640,394640,370000,390240,63
"VIXY",2011-07-14,385280,414320,385280,404400,90
"VIXY",2011-07-15,399600,414560,394960,400320,76
"VIXY",2011-07-18,408000,416880,407600,408880,69
"VIXY",2011-07-19,400960,401360,387440,389120,58
"VIXY",2011-07-20,381360,389440,379360,381040,49
"VIXY",2011-07-21,371200,373520,360000,361520,70
"VIXY",2011-07-22,357440,364240,355200,358640,41
"VIXY",2011-07-25,370320,373040,364080,372320,63
"VIXY",2011-07-26,374240,382960,372160,380000,56
"VIXY",2011-07-27,387280,404400,386880,402480,79
"VIXY",2011-07-28,405040,414640,390880,411760,63
"VIXY",2011-07-29,424720,430880,401680,404080,140
"VIXY",2011-08-01,382400,413200,381280,387120,131
"VIXY",2011-08-02,399520,414000,390560,414000,85
"VIXY",2011-08-03,416000,435280,409040,416480,80
"VIXY",2011-08-04,432240,499040,429600,498400,132
"VIXY",2011-08-05,476960,574400,469520,523840,275
"VIXY",2011-08-08,570320,615600,551360,600560,263
"VIXY",2011-08-09,576320,622400,540000,541120,168
"VIXY",2011-08-10,561920,611360,556240,606320,62
"VIXY",2011-08-11,596240,612240,565440,581600,121
"VIXY",2011-08-12,561280,587920,555440,585760,79
"VIXY",2011-08-15,568000,576720,552640,552640,60
"VIXY",2011-08-16,565280,584640,555760,565200,92
"VIXY",2011-08-17,557200,582800,552000,576480,77
"VIXY",2011-08-18,630480,710880,629440,695680,106
"VIXY",2011-08-19,740480,740800,687600,730800,97
"VIXY",2011-08-22,689920,761920,688480,753040,62
"VIXY",2011-08-23,752320,767600,713600,717040,34
"VIXY",2011-08-24,716000,723200,681920,702480,26
"VIXY",2011-08-25,683200,734080,674400,716960,80
"VIXY",2011-08-26,741920,755680,692640,704880,30
"VIXY",2011-08-29,678880,680400,660560,660560,34
"VIXY",2011-08-30,671920,685440,658880,668480,34
"VIXY",2011-08-31,661600,676720,648560,669680,52
"VIXY",2011-09-01,669920,678560,647680,678160,14
"VIXY",2011-09-02,710560,719280,700800,712320,26
"VIXY",2011-09-06,777120,777120,733040,733440,34
"VIXY",2011-09-07,712240,719200,704320,706800,25
"VIXY",2011-09-08,717760,723520,694560,718320,28
